Image,ID,Total score,Rank,Link,Grand Leuks,Background,Foundation,Body,Clothing,Halos,Eyes,Masks,UNREVEALED,Balds,Vetements,Elements,Bald Masks,Bandanas,Bandana Masks,Kabutos,Kabuto Masks,Almightys,Monolith,Scarlets,Mythic,Alien,Luminous,Natural
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/613.png?__id=613,613,14284.46,1,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/613;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/613,,Smoke: 3.970% (397/10000),Wings of Gold: 0.220% (22/10000),,,,None: 22.930% (2293/10000),,,Natural Dark: 0.910% (91/10000),Stealth Grandmaster: 0.010% (1/10000),Orange Fragments: 0.280% (28/10000),Gold Cross Chain: 0.030% (3/10000),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2974.png?__id=2974,2974,13756.26,2,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2974;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2974,,Teal: 4.020% (402/10000),Stems of Death: 0.570% (57/10000),,,,Rock: 0.540% (54/10000),,,Natural Light: 0.490% (49/10000),Red Grandmaster: 0.010% (1/10000),Purple Fragments: 0.150% (15/10000),Pink Masquerade: 0.040% (4/10000),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2486.png?__id=2486,2486,12324.72,3,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2486;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2486,,Smoke: 3.970% (397/10000),Blade of Onir: 1.850% (185/10000),,,,None: 22.930% (2293/10000),,,Natural Light: 0.490% (49/10000),Grey Kira Monk with Gold Chain: 0.060% (6/10000),Stealth Longsword: 0.270% (27/10000),Teal Masquerade: 0.010% (1/10000),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2676.png?__id=2676,2676,12124.84,4,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2676;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2676,,Red: 4.360% (436/10000),None: 11.410% (1141/10000),,Orange Monk with Multi Chain: 0.120% (12/10000),None: 10.190% (1019/10000),Red: 0.720% (72/10000),,,,,,,,,Kabuto Diamond: 0.090% (9/10000),Jade Maker: 0.010% (1/10000),,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2074.png?__id=2074,2074,11909.06,5,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2074;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2074,,Smoke: 3.970% (397/10000),Blade of Krelene: 1.270% (127/10000),,,,None: 22.930% (2293/10000),,,Essential: 0.290% (29/10000),Red Kira Monk with Bronze Kira Chain: 0.090% (9/10000),Silver Liquids: 0.290% (29/10000),Jade Chronograph: 0.010% (1/10000),,,,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2389.png?__id=2389,2389,11750.52,6,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2389;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2389,,Teal: 4.020% (402/10000),Aura of Taste: 1.070% (107/10000),,,,None: 22.930% (2293/10000),,,,Pink Kira Monk: 0.010% (1/10000),Gold Fragments: 0.130% (13/10000),,Bandana Purple: 0.330% (33/10000),Lavender Oracle: 0.180% (18/10000),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/331.png?__id=331,331,11683.3,7,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/331;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/331,,Red: 4.360% (436/10000),None: 11.410% (1141/10000),,Matrix: 0.090% (9/10000),None: 10.190% (1019/10000),None: 22.930% (2293/10000),,,,,,,,,Kabuto Black: 0.190% (19/10000),Glacier Bioface: 0.010% (1/10000),,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2445.png?__id=2445,2445,11435.99,8,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2445;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2445,,Grey: 3.890% (389/10000),None: 11.410% (1141/10000),,,,None: 22.930% (2293/10000),,,,Red Velvet Monk: 0.010% (1/10000),Royal Liquids: 0.320% (32/10000),,Bandana Dark Camo: 0.270% (27/10000),Stealth Chain Face: 0.140% (14/10000),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/2891.png?__id=2891,2891,11351.06,9,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/2891;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/2891,,Green: 4.050% (405/10000),Aura of Nature: 1.100% (110/10000),,,,None: 22.930% (2293/10000),,,,Diamond Grandmaster: 0.010% (1/10000),Blood Liquids: 0.600% (60/10000),,Bandana Light Camo: 0.210% (21/10000),Royal Oracle: 0.170% (17/10000),,,,,,,,,
https://kiraverse.mypinata.cloud/ipfs/QmZer3ZoHJ17dRgQCKw7EkyiAdLrhSWfTQEkeNUHwNNFmE/3364/3214.png?__id=3214,3214,11332.07,10,https://market.immutable.com/collections/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/assets/3214;https://nft.gamestop.com/token/0xe2c921ed59f5a4011b4ffc6a4747015dcb5b804f/3214,,Teal: 4.020% (402/10000),None: 11.410% (1141/10000),,Pink Camo: 0.360% (36/10000),Teal Fragments: 0.740% (74/10000),Brown: 0.860% (86/10000),,,,,,,,,Kabuto Blood: 0.130% (13/10000),Green Knower: 0.010% (1/10000),,,,,,,
